cycle,Current,Temperature,Vbat1,Vbat2,Vbat3,Vbat4,RUL
1,0.45286393755105747,24.29087682672234,3.6534909685032226,3.6434564763547246,3.644662793864028,3.660898611237179,29
2,0.4516783848401665,24.47203223235633,3.672443106349066,3.6682714956167537,3.6631373417161073,3.6744726821925084,28
3,0.9491603128054741,25.802453567937437,3.624013685239492,3.6203988269794722,3.6019726295210166,3.6213333333333333,27
4,0.9527168932762152,25.803743713913203,3.640035388340473,3.6466138945799957,3.6313149562302103,3.6430787856211584,26
5,0.9374568854568853,25.425552491266775,3.635326346754918,3.6347324875896305,3.6340963412391982,3.638727707299136,25
6,0.9157971197119712,26.157854185418543,3.6545058505850583,3.6495517551755174,3.6469414941494147,3.6483042304230424,24
7,0.9316752754199025,24.439302871591117,3.6243236409608093,3.6440111973993137,3.640372042622359,3.6432978147011013,23
8,0.9301563981042653,26.987949325555963,3.658605541378053,3.657936565803864,3.6449708348523515,3.6475009114108636,22
9,0.9495187099073413,24.270735923022094,3.614281895937277,3.6173414112615823,3.6026211689237346,3.608052387740556,21
10,0.9430525831954403,24.172467365324508,3.656109578966722,3.654491634491634,3.6314285714285717,3.6253153153153153,20
11,0.9518299026946108,24.00237275449102,3.6530913173652695,3.654124251497006,3.6454041916167665,3.6365699850299396,19
12,1.899715793441387,27.05739540143234,3.61598944591029,3.6114134941575573,3.595559743686393,3.610429702223897,18
13,1.883119664938173,26.747136019146392,3.58556441962505,3.5809214200239334,3.5751535700039887,3.5730235341045073,17
14,1.8782707551105549,27.740675844806006,3.5647434292866085,3.5673007926574885,3.567513558614935,3.549115561118064,16
15,1.89442790335152,26.405685892439596,3.6024006235385815,3.6066523772408416,3.595572876071707,3.6036827747466873,15
16,1.8934044233807268,27.139486571879935,3.5921563981042657,3.5972827804107426,3.5773933649289096,3.59739336492891,14
17,1.911571886263516,26.57515018021626,3.5856147376852223,3.5919783740488587,3.5951862234681617,3.580168201842211,13
18,1.9081116751269036,26.742163217493168,3.6081218274111673,3.6120031237797736,3.5944513861772744,3.60665365091761,12
19,1.9172529659395332,26.44452736318408,3.6216494450822814,3.620099502487562,3.6205357826253346,3.5981209337925755,11
20,1.8903158512720155,26.025268101761252,3.5984618395303327,3.5949432485322896,3.5828767123287673,3.595749510763209,10
21,1.8859545634136703,25.743358356380877,3.590280521532991,3.5892769656262344,3.5733939154484395,3.5815883050177795,9
22,2.6419677790563867,27.970339470655926,3.564372842347526,3.561915995397008,3.558981588032221,3.547681242807825,8
23,2.742746698679472,28.746452581032415,3.5549579831932774,3.553847539015606,3.5526650660264103,3.5272629051620648,7
24,2.7231905817174518,28.57809972299169,3.569695290858726,3.5810360110803328,3.578415512465374,3.5745927977839336,6
25,2.6789178800232967,28.85110075713454,3.5286429819452536,3.53557367501456,3.538177052999418,3.5297379149679675,5
26,2.696285123966942,27.349687131050768,3.5909799291617475,3.601245572609209,3.5885301062573793,3.5459327036599766,4
27,2.657224235560589,29.085033975084936,3.5666194790486974,3.564331823329558,3.55286523216308,3.5674292185730465,3
28,2.685610231425091,27.749537149817296,3.5664920828258224,3.564464068209501,3.528599269183922,3.564068209500609,2
29,2.6514820904286553,27.105108631826187,3.5562830299471524,3.559859072225484,3.538062243100411,3.5588373458602467,1
30,2.677471182412359,26.08200237670826,3.5626440879382058,3.5584373143196673,3.542970885323826,3.559673202614379,0
